,date,close,code,ind_code
84,2023-05-12,9475.0,NR,2
85,2023-05-15,9565.0,NR,2
86,2023-05-16,9550.0,NR,2
87,2023-05-17,9605.0,NR,2
88,2023-05-18,9665.0,NR,2
89,2023-05-19,9715.0,NR,2
90,2023-05-22,9725.0,NR,2
91,2023-05-23,9590.0,NR,2
92,2023-05-24,9415.0,NR,2
93,2023-05-25,9425.0,NR,2
94,2023-05-26,9575.0,NR,2
95,2023-05-29,9585.0,NR,2
96,2023-05-30,9565.0,NR,2
97,2023-05-31,9520.0,NR,2
98,2023-06-01,9540.0,NR,2
99,2023-06-02,9710.0,NR,2
100,2023-06-05,9705.0,NR,2
101,2023-06-06,9620.0,NR,2
102,2023-06-07,9805.0,NR,2
103,2023-06-08,9810.0,NR,2
104,2023-06-09,9780.0,NR,2
105,2023-06-12,9570.0,NR,2
106,2023-06-13,9620.0,NR,2
107,2023-06-14,9705.0,NR,2
108,2023-06-15,9755.0,NR,2
109,2023-06-16,9705.0,NR,2
110,2023-06-19,9665.0,NR,2
111,2023-06-20,9660.0,NR,2
112,2023-06-21,9675.0,NR,2
113,2023-06-26,9490.0,NR,2
114,2023-06-27,9560.0,NR,2
115,2023-06-28,9535.0,NR,2
116,2023-06-29,9495.0,NR,2
117,2023-06-30,9595.0,NR,2
118,2023-07-03,9630.0,NR,2
119,2023-07-04,9570.0,NR,2
120,2023-07-05,,NR,2
0,2023-01-03,2520.0,UR,2
1,2023-01-04,2490.0,UR,2
2,2023-01-05,2459.0,UR,2
3,2023-01-06,2510.0,UR,2
4,2023-01-09,2511.0,UR,2
5,2023-01-10,2473.0,UR,2
6,2023-01-11,2510.0,UR,2
7,2023-01-12,2545.0,UR,2
8,2023-01-13,2565.0,UR,2
9,2023-01-16,2511.0,UR,2
10,2023-01-17,2559.0,UR,2
11,2023-01-18,2563.0,UR,2
12,2023-01-19,2576.0,UR,2
13,2023-01-20,2562.0,UR,2
14,2023-01-30,2539.0,UR,2
15,2023-01-31,2485.0,UR,2
16,2023-02-01,2478.0,UR,2
17,2023-02-02,2467.0,UR,2
18,2023-02-03,2438.0,UR,2
19,2023-02-06,2444.0,UR,2
20,2023-02-07,2405.0,UR,2
21,2023-02-08,2387.0,UR,2
22,2023-02-09,2378.0,UR,2
23,2023-02-10,2356.0,UR,2
24,2023-02-13,2300.0,UR,2
25,2023-02-14,2329.0,UR,2
26,2023-02-15,2355.0,UR,2
27,2023-02-16,2408.0,UR,2
28,2023-02-17,2403.0,UR,2
29,2023-02-20,2419.0,UR,2
30,2023-02-21,2434.0,UR,2
31,2023-02-22,2440.0,UR,2
32,2023-02-23,2407.0,UR,2
33,2023-02-24,2421.0,UR,2
34,2023-02-27,2374.0,UR,2
35,2023-02-28,2346.0,UR,2
36,2023-03-01,2362.0,UR,2
37,2023-03-02,2391.0,UR,2
38,2023-03-03,2374.0,UR,2
39,2023-03-06,2378.0,UR,2
40,2023-03-07,2398.0,UR,2
41,2023-03-08,2396.0,UR,2
42,2023-03-09,2376.0,UR,2
43,2023-03-10,2327.0,UR,2
44,2023-03-13,2352.0,UR,2
45,2023-03-14,2342.0,UR,2
46,2023-03-15,2351.0,UR,2
47,2023-03-16,2322.0,UR,2
48,2023-03-17,2389.0,UR,2
49,2023-03-20,2362.0,UR,2
50,2023-03-21,2314.0,UR,2
51,2023-03-22,2340.0,UR,2
52,2023-03-23,2353.0,UR,2
53,2023-03-24,2356.0,UR,2
54,2023-03-27,2316.0,UR,2
55,2023-03-28,2273.0,UR,2
56,2023-03-29,2254.0,UR,2
57,2023-03-30,2246.0,UR,2
58,2023-03-31,2247.0,UR,2
59,2023-04-03,2228.0,UR,2
60,2023-04-04,2234.0,UR,2
61,2023-04-06,2156.0,UR,2
62,2023-04-07,2163.0,UR,2
63,2023-04-10,2186.0,UR,2
64,2023-04-11,2227.0,UR,2
65,2023-04-12,2198.0,UR,2
66,2023-04-13,2145.0,UR,2
67,2023-04-14,2112.0,UR,2
68,2023-04-17,2126.0,UR,2
69,2023-04-18,2168.0,UR,2
70,2023-04-19,2151.0,UR,2
71,2023-04-20,2156.0,UR,2
72,2023-04-21,2109.0,UR,2
73,2023-04-24,2085.0,UR,2
74,2023-04-25,2049.0,UR,2
75,2023-04-26,2066.0,UR,2
76,2023-04-27,2052.0,UR,2
77,2023-04-28,2066.0,UR,2
78,2023-05-04,2074.0,UR,2
79,2023-05-05,2043.0,UR,2
80,2023-05-08,2043.0,UR,2
81,2023-05-09,2012.0,UR,2
82,2023-05-10,1998.0,UR,2
83,2023-05-11,1985.0,UR,2
84,2023-05-12,1949.0,UR,2
85,2023-05-15,1915.0,UR,2
86,2023-05-16,1938.0,UR,2
87,2023-05-17,1953.0,UR,2
88,2023-05-18,1922.0,UR,2
89,2023-05-19,1876.0,UR,2
90,2023-05-22,1805.0,UR,2
91,2023-05-23,1745.0,UR,2
92,2023-05-24,1739.0,UR,2
93,2023-05-25,1758.0,UR,2
94,2023-05-26,1762.0,UR,2
95,2023-05-29,1783.0,UR,2
96,2023-05-30,1822.0,UR,2
