,roll_yield,near_by,deferred,date
SC_TAS,,SC_TAS2107,SC_TAS2108,2021-06-07
BB,-1.3831807598795516,bb2106,bb2107,2021-06-08
FB,-0.4988560301285141,fb2106,fb2109,2021-06-08
CJ,-0.41085644557730394,CJ109,CJ201,2021-06-08
RU,-0.2555672901523783,RU2109,RU2201,2021-06-08
SA,-0.19411685842599471,SA109,SA201,2021-06-08
NR,-0.1447813386221125,NR2108,NR2109,2021-06-08
SR,-0.12418544660631518,SR109,SR201,2021-06-08
LU,-0.10480415962505464,LU2108,LU2109,2021-06-08
B,-0.09089909182164102,b2107,b2108,2021-06-08
BU,-0.09006008947053908,BU2109,BU2112,2021-06-08
PF,-0.08304630847122907,PF109,PF111,2021-06-08
MA,-0.07524666311644218,MA109,MA201,2021-06-08
TA,-0.07044080282652734,TA109,TA201,2021-06-08
CF,-0.05888956813465839,CF109,CF201,2021-06-08
AP,-0.056774735132152025,AP110,AP201,2021-06-08
SM,-0.0515426832302288,SM107,SM109,2021-06-08
PB,-0.03980103151192585,PB2107,PB2108,2021-06-08
PG,-0.03937195938812253,pg2107,pg2108,2021-06-08
PK,-0.03800503649656086,PK110,PK201,2021-06-08
AG,-0.03524873003895001,AG2109,AG2112,2021-06-08
BC,-0.03207296933272991,BC2107,BC2108,2021-06-08
CU,-0.03188144223055197,CU2107,CU2108,2021-06-08
CY,-0.029495060302777723,CY109,CY201,2021-06-08
AU,-0.014730614943271797,AU2108,AU2112,2021-06-08
CS,-0.013412108410916869,cs2107,cs2109,2021-06-08
A,-0.010286304593787094,a2109,a2111,2021-06-08
M,-0.004146510680855022,m2109,m2201,2021-06-08
RR,-0.0033912675087940485,rr2108,rr2109,2021-06-08
FU,0.00234925618896308,FU2109,FU2201,2021-06-08
ZN,0.00533333342112439,ZN2107,ZN2108,2021-06-08
AL,0.006573541659862987,AL2107,AL2108,2021-06-08
TF,0.012657284726962623,TF2109,TF2112,2021-06-08
T,0.012691275167429187,T2109,T2112,2021-06-08
TS,0.014150840638659665,TS2106,TS2109,2021-06-08
NI,0.014769232633591485,NI2107,NI2108,2021-06-08
SP,0.01571710132530242,SP2107,SP2109,2021-06-08
EG,0.018877834136189688,eg2109,eg2111,2021-06-08
L,0.02386477418969423,l2109,l2110,2021-06-08
SF,0.024598943024196587,SF109,SF201,2021-06-08
SN,0.027041602586252107,SN2107,SN2108,2021-06-08
PP,0.028090938719578292,pp2109,pp2110,2021-06-08
WR,0.043505723725563335,WR2110,WR2205,2021-06-08
LH,0.06364455945874238,lh2109,lh2201,2021-06-08
IF,0.06582857369857445,IF2106,IF2109,2021-06-08
C,0.07183026305430679,c2109,c2111,2021-06-08
Y,0.07440409177448688,y2109,y2201,2021-06-08
RB,0.08319330670901681,RB2110,RB2201,2021-06-08
SC,0.0842681002855394,SC2107,SC2108,2021-06-08
UR,0.08500142162844562,UR107,UR109,2021-06-08
IH,0.08806490567193136,IH2106,IH2109,2021-06-08
HC,0.08872256655909644,HC2110,HC2201,2021-06-08
J,0.1077908764950283,j2109,j2111,2021-06-08
P,0.11177450368908132,p2109,p2201,2021-06-08
OI,0.1121599147117355,OI109,OI201,2021-06-08
V,0.11314418949302579,v2109,v2111,2021-06-08
IC,0.11441199533401314,IC2106,IC2109,2021-06-08
SS,0.12483857713063305,SS2107,SS2108,2021-06-08
FG,0.1374997934486857,FG109,FG201,2021-06-08
ZC,0.18114153296672245,ZC109,ZC201,2021-06-08
RM,0.19315613026480807,RM109,RM201,2021-06-08
JM,0.2143084956124754,jm2109,jm2111,2021-06-08
EB,0.22140589291195242,eb2107,eb2108,2021-06-08
I,0.28780908138032574,i2109,i2203,2021-06-08
JD,0.37995931496856045,jd2108,jd2109,2021-06-08
SC_TAS,,SC_TAS2107,SC_TAS2108,2021-06-08
BB,-1.3831807598795516,bb2106,bb2107,2021-06-09
FB,-0.42688054069546355,fb2106,fb2109,2021-06-09
CJ,-0.3999574379794233,CJ109,CJ201,2021-06-09
RU,-0.25102128470343554,RU2109,RU2201,2021-06-09
SA,-0.2134350210691945,SA109,SA201,2021-06-09
NR,-0.177370434709424,NR2108,NR2109,2021-06-09
B,-0.15711720947318508,b2107,b2108,2021-06-09
SR,-0.12621569624207735,SR109,SR201,2021-06-09
BU,-0.09383146298845976,BU2109,BU2112,2021-06-09
LU,-0.08515706937317015,LU2108,LU2109,2021-06-09
PF,-0.07564570112744912,PF109,PF111,2021-06-09
TA,-0.06955000636697184,TA109,TA201,2021-06-09
WH,-0.06877091970581108,WH109,WH201,2021-06-09
PB,-0.061975605802094054,PB2107,PB2108,2021-06-09
CF,-0.061150974550840315,CF109,CF201,2021-06-09
SM,-0.0515426832302288,SM107,SM109,2021-06-09
PK,-0.04576412574466489,PK110,PK201,2021-06-09
AP,-0.039726030003666854,AP110,AP201,2021-06-09
BC,-0.03762938172820868,BC2107,BC2108,2021-06-09
AG,-0.03469355318470297,AG2109,AG2112,2021-06-09
CU,-0.03351489401014621,CU2107,CU2108,2021-06-09
RS,-0.03280377212726074,RS107,RS109,2021-06-09
PG,-0.01933034591281555,pg2107,pg2108,2021-06-09
A,-0.01761203025775459,a2109,a2111,2021-06-09
EG,-0.016306062089994664,eg2109,eg2111,2021-06-09
CS,-0.011468624071608053,cs2107,cs2109,2021-06-09
AU,-0.011318720303150148,AU2108,AU2112,2021-06-09
RR,-0.0033989520125266163,rr2108,rr2109,2021-06-09
FU,-0.0,FU2109,FU2201,2021-06-09
PM,-0.0,PM107,PM109,2021-06-09
AL,0.006527060264264407,AL2107,AL2108,2021-06-09
M,0.00746991671044752,m2109,m2201,2021-06-09
TF,0.011854241792511792,TF2109,TF2112,2021-06-09
TS,0.011961731402200469,TS2106,TS2109,2021-06-09
ZN,0.01323189019280315,ZN2107,ZN2108,2021-06-09
T,0.013318660974369716,T2109,T2112,2021-06-09
MA,0.014643076862752492,MA109,MA110,2021-06-09
L,0.027622541388355737,l2109,l2111,2021-06-09
SF,0.028721760540111586,SF109,SF201,2021-06-09
NI,0.032574292359454776,NI2107,NI2108,2021-06-09
PP,0.036699520928366286,pp2109,pp2110,2021-06-09
SN,0.03763119716390528,SN2107,SN2108,2021-06-09
WR,0.04661582202833366,WR2110,WR2205,2021-06-09
SP,0.05557433049422075,SP2107,SP2109,2021-06-09
IF,0.07082562029883319,IF2106,IF2109,2021-06-09
Y,0.07523031776739891,y2109,y2201,2021-06-09
RB,0.07538314522765041,RB2110,RB2201,2021-06-09
LH,0.07818032000959486,lh2109,lh2201,2021-06-09
SC,0.09570276689243803,SC2107,SC2108,2021-06-09
HC,0.09580844630939903,HC2110,HC2201,2021-06-09
IH,0.09603624690562584,IH2106,IH2109,2021-06-09
C,0.09607354772412854,c2109,c2111,2021-06-09
SS,0.09907963558942502,SS2107,SS2108,2021-06-09
UR,0.10109758978617822,UR107,UR109,2021-06-09
J,0.10844363646968777,j2109,j2111,2021-06-09
OI,0.10949911388085995,OI109,OI201,2021-06-09
P,0.11328120616853499,p2109,p2201,2021-06-09
V,0.11744761874777782,v2109,v2111,2021-06-09
IC,0.12063544834097614,IC2106,IC2109,2021-06-09
FG,0.13977683340619992,FG109,FG201,2021-06-09
ZC,0.16893127896630478,ZC109,ZC201,2021-06-09
JM,0.1790206026771059,jm2109,jm2111,2021-06-09
RM,0.1975603371566409,RM109,RM201,2021-06-09
EB,0.22462449488221325,eb2107,eb2108,2021-06-09
I,0.29966753994091827,i2109,i2203,2021-06-09
JD,0.3284493542502239,jd2108,jd2109,2021-06-09
SC_TAS,,SC_TAS2107,SC_TAS2108,2021-06-09
BB,-1.3831807598795516,bb2106,bb2107,2021-06-10
CJ,-0.44059763819850095,CJ109,CJ201,2021-06-10
FB,-0.3124885935008369,fb2106,fb2109,2021-06-10
RU,-0.2581030120254095,RU2109,RU2201,2021-06-10
SA,-0.23948164095798447,SA109,SA201,2021-06-10
NR,-0.1991038801850849,NR2108,NR2109,2021-06-10
SR,-0.12279152205601192,SR109,SR201,2021-06-10
LU,-0.1058884095666647,LU2108,LU2109,2021-06-10
PF,-0.10206387087768659,PF109,PF111,2021-06-10
RS,-0.09022726418724336,RS107,RS109,2021-06-10
BU,-0.08886433391741966,BU2109,BU2112,2021-06-10
TA,-0.08174196616345988,TA109,TA201,2021-06-10
CF,-0.0594815024237644,CF109,CF201,2021-06-10
CY,-0.05840058832762009,CY109,CY201,2021-06-10
PB,-0.04660200031677135,PB2107,PB2108,2021-06-10
SM,-0.046147953260373485,SM107,SM109,2021-06-10
AP,-0.041214599388433276,AP110,AP201,2021-06-10
PK,-0.03779285146504317,PK110,PK201,2021-06-10
BC,-0.03399435701164908,BC2107,BC2108,2021-06-10
CU,-0.0336181757906791,CU2107,CU2108,2021-06-10
AG,-0.03251475758224973,AG2109,AG2112,2021-06-10
CS,-0.028557883517928803,cs2107,cs2109,2021-06-10
EG,-0.027586255491777296,eg2109,eg2111,2021-06-10
A,-0.026212361480491008,a2109,a2111,2021-06-10
AU,-0.01431760771245899,AU2108,AU2112,2021-06-10
PG,-0.005463237062268136,pg2107,pg2108,2021-06-10
FU,-0.0,FU2109,FU2201,2021-06-10
M,0.0033094322164719516,m2109,m2201,2021-06-10
RR,0.00340957524669102,rr2108,rr2109,2021-06-10
MA,0.004886988460944878,MA109,MA110,2021-06-10
TS,0.010165189714690192,TS2106,TS2109,2021-06-10
