,roll_yield,near_by,deferred,date
ZN,-0.01594381937120757,ZN1802,ZN1803,2018-01-15
B,-0.014130972900549401,b1805,b1809,2018-01-15
P,-0.012526114231441777,p1805,p1809,2018-01-15
TF,-0.011025881379981162,TF1803,TF1806,2018-01-15
IF,-0.003692570003166904,IF1801,IF1803,2018-01-15
T,-0.0019551935216162676,T1803,T1806,2018-01-15
WR,-0.0,WR1801,WR1802,2018-01-15
TA,0.0021137925178995607,TA803,TA805,2018-01-15
WH,0.003470214383471266,WH805,WH809,2018-01-15
M,0.013086171240497237,m1805,m1809,2018-01-15
SR,0.015517275974963447,SR805,SR809,2018-01-15
PP,0.02963680318600012,pp1805,pp1809,2018-01-15
C,0.04638413769909859,c1805,c1809,2018-01-15
L,0.05084867494131996,l1805,l1809,2018-01-15
IC,0.05476857629555909,IC1801,IC1803,2018-01-15
J,0.059559095376814294,j1805,j1809,2018-01-15
HC,0.07303116730741507,HC1805,HC1810,2018-01-15
SF,0.0751683545411168,SF805,SF809,2018-01-15
JM,0.08949038300372561,jm1805,jm1809,2018-01-15
RB,0.09332185175758392,RB1805,RB1810,2018-01-15
SM,0.10982373982027277,SM805,SM809,2018-01-15
MA,0.11664086285423628,MA805,MA809,2018-01-15
AP,0.22196476600504844,AP805,AP810,2018-01-15
FB,0.34139050407553023,fb1802,fb1808,2018-01-15
BB,0.48673346251186533,bb1802,bb1805,2018-01-15
ZC,0.5268297890506201,ZC803,ZC805,2018-01-15
FU,-1.6417542638578022,FU1803,FU1804,2018-01-16
JD,-0.347533742899557,jd1805,jd1809,2018-01-16
OI,-0.11708803171720589,OI805,OI809,2018-01-16
I,-0.1030263657196629,i1805,i1809,2018-01-16
BU,-0.09323722131184842,BU1806,BU1812,2018-01-16
AL,-0.0734696172526054,AL1802,AL1803,2018-01-16
CF,-0.07201124204526296,CF805,CF809,2018-01-16
Y,-0.0683495217917302,y1805,y1809,2018-01-16
RU,-0.06467566199533369,RU1805,RU1809,2018-01-16
AG,-0.05553107860842313,AG1806,AG1812,2018-01-16
CS,-0.05290160280320818,cs1805,cs1809,2018-01-16
IH,-0.05286035356342354,IH1801,IH1803,2018-01-16
A,-0.04708894694195602,a1805,a1809,2018-01-16
CU,-0.03310346926895593,CU1803,CU1804,2018-01-16
PB,-0.031838702678703326,PB1802,PB1803,2018-01-16
NI,-0.03059358045858781,NI1805,NI1807,2018-01-16
V,-0.02926852483609397,v1805,v1809,2018-01-16
AU,-0.02680343413909067,AU1806,AU1812,2018-01-16
