,underlying_symbol_y,settle_price_m,delisted_date_x,settle_price_sm,delisted_date_y,date,price_div_log,date_minus,factor
CZCE.WH,CZCE.WH,2499.0,2020-09-14 00:00:00+08:00,2596.0,2021-01-15 00:00:00+08:00,2020-06-15,-0.038081146989028224,123.0,-0.11145701557764359
CZCE.ZC,CZCE.ZC,542.8,2020-09-07 00:00:00+08:00,540.6,2020-11-06 00:00:00+08:00,2020-06-15,0.004061294118366818,60.0,0.02436776471020091
DCE.A,DCE.A,4751.0,2020-09-14 00:00:00+08:00,4284.0,2021-01-15 00:00:00+08:00,2020-06-15,0.103467969619282,123.0,0.30283308181253266
DCE.B,DCE.B,3044.0,2020-08-14 00:00:00+08:00,3119.0,2020-09-14 00:00:00+08:00,2020-06-15,-0.024339997626226767,31.0,-0.2826580369497302
DCE.BB,DCE.BB,183.15,2020-08-14 00:00:00+08:00,180.75,2020-09-14 00:00:00+08:00,2020-06-15,0.013190628185949264,31.0,0.1531814886110237
DCE.C,DCE.C,2113.0,2020-09-14 00:00:00+08:00,2147.0,2021-01-15 00:00:00+08:00,2020-06-15,-0.01596278026272435,123.0,-0.04672033247626639
DCE.CS,DCE.CS,2436.0,2020-09-14 00:00:00+08:00,2468.0,2021-01-15 00:00:00+08:00,2020-06-15,-0.013050756195490827,123.0,-0.03819733520631462
DCE.EB,DCE.EB,5699.0,2020-09-25 00:00:00+08:00,5973.0,2021-01-26 00:00:00+08:00,2020-06-15,-0.0469585928973064,123.0,-0.1374397840896773
DCE.EG,DCE.EG,3634.0,2020-09-25 00:00:00+08:00,3821.0,2021-01-26 00:00:00+08:00,2020-06-15,-0.05017819849078345,123.0,-0.14686301997302473
DCE.FB,DCE.FB,1336.5,2020-09-14 00:00:00+08:00,1343.5,2020-11-13 00:00:00+08:00,2020-06-15,-0.005223892476572203,60.0,-0.031343354859433216
DCE.I,DCE.I,773.0,2020-09-14 00:00:00+08:00,691.0,2021-01-15 00:00:00+08:00,2020-06-15,0.11213922481975214,123.0,0.3282123653261038
DCE.J,DCE.J,1951.0,2020-09-14 00:00:00+08:00,1873.5,2021-01-15 00:00:00+08:00,2020-06-15,0.04053372238936926,123.0,0.11863528504205638
