,roll_yield,near_by,deferred,date
A,0.05148015237120375,a1505,a1509,2015-01-14
RM,0.05259551912599782,RM505,RM509,2015-01-14
RU,0.062209994949769726,RU1505,RU1509,2015-01-14
I,0.09193773613808519,i1505,i1509,2015-01-14
HC,0.09945662195070165,HC1501,HC1505,2015-01-14
L,0.10712068156045423,l1505,l1509,2015-01-14
CU,0.11122030836330082,CU1503,CU1504,2015-01-14
PP,0.1324840810852086,pp1505,pp1509,2015-01-14
FB,0.2826764909030277,fb1501,fb1505,2015-01-14
J,0.41249251688839816,j1501,j1505,2015-01-14
ME,-0.2856174033550734,ME501,ME505,2015-01-15
BU,-0.2644076509899797,BU1506,BU1509,2015-01-15
JD,-0.25396570903104687,jd1505,jd1509,2015-01-15
FU,-0.23586053086467068,FU1503,FU1506,2015-01-15
BB,-0.21089092001589466,bb1502,bb1505,2015-01-15
WR,-0.1737386801771473,WR1502,WR1504,2015-01-15
CS,-0.1729774949313067,cs1505,cs1509,2015-01-15
IF,-0.1701422071109927,IF1502,IF1503,2015-01-15
MA,-0.1322103324856874,MA506,MA509,2015-01-15
WH,-0.10373680475433239,WH501,WH505,2015-01-15
CF,-0.08550835358440467,CF505,CF509,2015-01-15
SR,-0.07809005125488677,SR505,SR509,2015-01-15
TA,-0.07605133358229048,TA505,TA509,2015-01-15
AL,-0.06059441890514537,AL1503,AL1504,2015-01-15
LR,-0.05442084140730112,LR501,LR505,2015-01-15
B,-0.05128330007790012,b1505,b1509,2015-01-15
OI,-0.048049075165723,OI505,OI509,2015-01-15
Y,-0.04752783791846836,y1505,y1509,2015-01-15
RS,-0.0462302782464311,RS507,RS509,2015-01-15
P,-0.033708219800777255,p1505,p1509,2015-01-15
C,-0.033450687263935214,c1505,c1509,2015-01-15
JM,-0.02870835304845202,jm1505,jm1509,2015-01-15
TC,-0.02532729268584815,TC505,TC509,2015-01-15
TF,-0.019312791125713723,TF1503,TF1506,2015-01-15
AU,-0.011572443544969427,AU1502,AU1506,2015-01-15
RB,-0.011405962062033245,RB1505,RB1510,2015-01-15
PB,-0.004941321873402647,PB1503,PB1504,2015-01-15
AG,0.004697331291206953,AG1501,AG1506,2015-01-15
M,0.007657251194514759,m1505,m1509,2015-01-15
ZN,0.0264942545725744,ZN1503,ZN1504,2015-01-15
V,0.026932849221294932,v1505,v1509,2015-01-15
FG,0.03889819956797898,FG506,FG509,2015-01-15
A,0.05384932552254268,a1505,a1509,2015-01-15
CU,0.0558482330772542,CU1503,CU1504,2015-01-15
RM,0.05765352030083143,RM505,RM509,2015-01-15
RU,0.06121436627108103,RU1505,RU1509,2015-01-15
I,0.11458679321410786,i1505,i1509,2015-01-15
L,0.12082169741381987,l1505,l1509,2015-01-15
PP,0.13335528771250144,pp1505,pp1509,2015-01-15
HC,0.1711037474942334,HC1501,HC1505,2015-01-15
FB,0.242850975719682,fb1501,fb1505,2015-01-15
J,0.3280918575529063,j1501,j1505,2015-01-15
BB,-0.5063709430544016,bb1502,bb1505,2015-01-16
ME,-0.330482772471243,ME502,ME505,2015-01-16
FU,-0.29652916842811516,FU1503,FU1506,2015-01-16
BU,-0.27164482246484145,BU1506,BU1509,2015-01-16
JD,-0.22748174731698398,jd1505,jd1509,2015-01-16
WR,-0.1737386801771473,WR1502,WR1504,2015-01-16
CS,-0.1726548406782818,cs1505,cs1509,2015-01-16
IF,-0.15798684110045563,IF1502,IF1503,2015-01-16
MA,-0.12894744157632645,MA506,MA509,2015-01-16
HC,-0.09015947255611947,HC1503,HC1505,2015-01-16
CF,-0.08228958522593097,CF505,CF509,2015-01-16
SR,-0.07720898991622224,SR505,SR509,2015-01-16
TA,-0.07232377813627212,TA505,TA509,2015-01-16
B,-0.06432099371360822,b1505,b1509,2015-01-16
OI,-0.04812937452172705,OI505,OI509,2015-01-16
AL,-0.04671084138613473,AL1503,AL1504,2015-01-16
Y,-0.044571035608380404,y1505,y1509,2015-01-16
J,-0.03992454360748518,j1505,j1509,2015-01-16
P,-0.03500341460304594,p1505,p1509,2015-01-16
C,-0.030972812797803034,c1505,c1509,2015-01-16
JM,-0.028866202092186093,jm1505,jm1509,2015-01-16
TC,-0.026655559326752704,TC505,TC509,2015-01-16
AU,-0.02076954196240353,AU1502,AU1506,2015-01-16
TF,-0.020552547237728383,TF1503,TF1506,2015-01-16
RB,-0.01714973553820453,RB1505,RB1510,2015-01-16
AG,-0.01695157106422788,AG1506,AG1512,2015-01-16
WH,-0.01573626687918639,WH505,WH509,2015-01-16
RI,-0.010563391195736882,RI505,RI509,2015-01-16
PB,-0.004927119757170731,PB1503,PB1504,2015-01-16
M,0.002214839524742886,m1505,m1509,2015-01-16
FB,0.005084746979973955,fb1505,fb1509,2015-01-16
ZN,0.02659491352924536,ZN1503,ZN1504,2015-01-16
V,0.02701368927924518,v1505,v1509,2015-01-16
FG,0.035087944291347976,FG506,FG509,2015-01-16
A,0.05713178149783976,a1505,a1509,2015-01-16
RM,0.061125071187507984,RM505,RM509,2015-01-16
RU,0.06714908630739808,RU1505,RU1509,2015-01-16
CU,0.07626522859445922,CU1503,CU1504,2015-01-16
I,0.10866379030295514,i1505,i1509,2015-01-16
L,0.11363606523595524,l1505,l1509,2015-01-16
PP,0.12789444568560115,pp1505,pp1509,2015-01-16
BB,-0.482212192567038,bb1502,bb1505,2015-01-19
BU,-0.37266946743443746,BU1506,BU1509,2015-01-19
JD,-0.24660061744067313,jd1505,jd1509,2015-01-19
FU,-0.24486810878801302,FU1503,FU1506,2015-01-19
CS,-0.17369581897134165,cs1505,cs1509,2015-01-19
WR,-0.17243745808378413,WR1502,WR1504,2015-01-19
MA,-0.16791142665173048,MA506,MA509,2015-01-19
IF,-0.15602844221039713,IF1502,IF1503,2015-01-19
RI,-0.12243967907760397,RI505,RI601,2015-01-19
CF,-0.08219692256434304,CF505,CF509,2015-01-19
TA,-0.08129201867451656,TA505,TA509,2015-01-19
SR,-0.08123573270426183,SR505,SR509,2015-01-19
AL,-0.06521755183148394,AL1503,AL1504,2015-01-19
HC,-0.05425809393830035,HC1503,HC1505,2015-01-19
J,-0.05420974890201258,j1505,j1509,2015-01-19
OI,-0.05398346261171717,OI505,OI509,2015-01-19
B,-0.05073141644494962,b1505,b1509,2015-01-19
Y,-0.0437341078447607,y1505,y1509,2015-01-19
P,-0.03775166520892127,p1505,p1509,2015-01-19
C,-0.033354265751930776,c1505,c1509,2015-01-19
JM,-0.028591094552082183,jm1505,jm1509,2015-01-19
TC,-0.02542388097291671,TC505,TC509,2015-01-19
AU,-0.021601728052216676,AU1502,AU1506,2015-01-19
TF,-0.018694304807118686,TF1503,TF1506,2015-01-19
FB,-0.015189905869639904,fb1505,fb1509,2015-01-19
RB,-0.011419529871400314,RB1505,RB1510,2015-01-19
WH,-0.011111161916792726,WH505,WH601,2015-01-19
AG,-0.0100622481544542,AG1506,AG1512,2015-01-19
M,-0.0022371365689945423,m1505,m1509,2015-01-19
PB,0.014408646918226525,PB1503,PB1504,2015-01-19
ZN,0.014948616072019465,ZN1503,ZN1504,2015-01-19
V,0.014977564809362945,v1505,v1509,2015-01-19
FG,0.021917863058502383,FG506,FG509,2015-01-19
A,0.05250302278039352,a1505,a1509,2015-01-19
CU,0.06048254733668766,CU1503,CU1504,2015-01-19
RU,0.0690232747353841,RU1505,RU1509,2015-01-19
RM,0.07493184925859163,RM505,RM509,2015-01-19
I,0.10822816942142893,i1505,i1509,2015-01-19
L,0.1170968217024827,l1505,l1509,2015-01-19
PP,0.11809794784481048,pp1505,pp1509,2015-01-19
BB,-0.5408994925234227,bb1502,bb1505,2015-01-20
FU,-0.443467202403392,FU1503,FU1506,2015-01-20
BU,-0.3754405101500403,BU1506,BU1509,2015-01-20
JD,-0.2632600743395384,jd1505,jd1509,2015-01-20
CS,-0.17886804959810051,cs1505,cs1509,2015-01-20
WR,-0.17054575039197983,WR1502,WR1504,2015-01-20
MA,-0.15849468811258569,MA506,MA509,2015-01-20
IF,-0.1349908774703973,IF1502,IF1503,2015-01-20
HC,-0.10992673888557747,HC1503,HC1505,2015-01-20
RI,-0.10727867289395032,RI505,RI601,2015-01-20
CF,-0.08463980612637367,CF505,CF509,2015-01-20
TA,-0.08300167644860765,TA505,TA509,2015-01-20
SR,-0.08189323273263194,SR505,SR509,2015-01-20
AL,-0.07024410301752873,AL1503,AL1504,2015-01-20
Y,-0.04357915426214252,y1505,y1509,2015-01-20
J,-0.043042345224424725,j1505,j1509,2015-01-20
OI,-0.03792465674649628,OI505,OI509,2015-01-20
C,-0.03708329047072178,c1505,c1509,2015-01-20
P,-0.035387841689790846,p1505,p1509,2015-01-20
B,-0.03151094772158765,b1505,b1509,2015-01-20
TC,-0.02809726796292627,TC505,TC509,2015-01-20
JM,-0.02469149740954633,jm1505,jm1509,2015-01-20
WH,-0.01988247077429056,WH505,WH601,2015-01-20
AU,-0.019859885611922982,AU1502,AU1506,2015-01-20
TF,-0.01898880200480045,TF1503,TF1506,2015-01-20
RB,-0.015384668066205644,RB1505,RB1510,2015-01-20
FB,-0.015280168857309063,fb1505,fb1509,2015-01-20
AG,-0.013218818775347613,AG1506,AG1512,2015-01-20
V,-0.012084608485814365,v1505,v1509,2015-01-20
M,-0.006736529776748471,m1505,m1509,2015-01-20
PB,0.009661836270749702,PB1503,PB1504,2015-01-20
FG,0.022014364867915807,FG506,FG509,2015-01-20
ZN,0.03372367559106504,ZN1503,ZN1504,2015-01-20
A,0.045429730152290085,a1505,a1509,2015-01-20
CU,0.04955673264398963,CU1503,CU1504,2015-01-20
RU,0.0633868507821929,RU1505,RU1509,2015-01-20
RM,0.07639134819275391,RM505,RM509,2015-01-20
L,0.09495619225418461,l1505,l1509,2015-01-20
PP,0.10689220147378398,pp1505,pp1509,2015-01-20
I,0.11575039811746943,i1505,i1509,2015-01-20
FU,-0.6333144163133938,FU1503,FU1506,2015-01-21
