,roll_yield,near_by,deferred,date
CF,0.04639267709274477,CF305,CF309,2013-01-17
M,0.13150057358851097,m1305,m1309,2013-01-17
RS,0.14347778755151389,RS309,RS311,2013-01-17
RM,0.15689066693592588,RM305,RM309,2013-01-17
FU,-0.21898503521009818,FU1303,FU1305,2013-01-18
WH,-0.15958387511559513,WH307,WH309,2013-01-18
FG,-0.13910425146479458,FG305,FG309,2013-01-18
P,-0.12797530059147744,p1305,p1309,2013-01-18
PB,-0.11908797703185214,PB1302,PB1303,2013-01-18
WS,-0.11724405012741337,WS301,WS305,2013-01-18
ER,-0.11373101455160552,ER301,ER305,2013-01-18
AG,-0.09839948512821882,AG1302,AG1306,2013-01-18
J,-0.08093587935867014,j1305,j1309,2013-01-18
ZN,-0.078074445872858,ZN1303,ZN1304,2013-01-18
V,-0.07539199417673856,v1305,v1309,2013-01-18
AL,-0.0748156648213951,AL1303,AL1304,2013-01-18
IF,-0.06327145671005314,IF1302,IF1303,2013-01-18
PM,-0.05381201989656225,PM307,PM309,2013-01-18
C,-0.0525364678256611,c1305,c1309,2013-01-18
WR,-0.048805892732398395,WR1302,WR1305,2013-01-18
CU,-0.043088017568742476,CU1304,CU1305,2013-01-18
ME,-0.038605341404168124,ME305,ME309,2013-01-18
Y,-0.03573925429010009,y1305,y1309,2013-01-18
B,-0.01995501403206066,b1305,b1309,2013-01-18
SR,-0.015159750721402543,SR305,SR309,2013-01-18
RB,-0.01375361930156418,RB1305,RB1310,2013-01-18
AU,-0.008116423684808268,AU1306,AU1312,2013-01-18
A,-0.004357299240944402,a1305,a1309,2013-01-18
RU,-0.0034648704525286865,RU1305,RU1309,2013-01-18
L,0.022346472038971874,l1305,l1309,2013-01-18
CF,0.05327639690879804,CF305,CF309,2013-01-18
TA,0.05517722151269024,TA305,TA309,2013-01-18
M,0.10581353063485842,m1305,m1309,2013-01-18
RM,0.1445055456769265,RM305,RM309,2013-01-18
RS,0.15660844319547873,RS309,RS311,2013-01-18
FU,-0.2597500177998199,FU1303,FU1305,2013-01-21
FG,-0.1405592142744473,FG305,FG309,2013-01-21
P,-0.13296890387826724,p1305,p1309,2013-01-21
WS,-0.12183202791904585,WS301,WS305,2013-01-21
AG,-0.09206126548380904,AG1302,AG1306,2013-01-21
PB,-0.07952315385130754,PB1302,PB1303,2013-01-21
J,-0.07941173030208903,j1305,j1309,2013-01-21
V,-0.07769579643863972,v1305,v1309,2013-01-21
AL,-0.07496325545288829,AL1303,AL1304,2013-01-21
ZN,-0.06656894212888304,ZN1303,ZN1304,2013-01-21
